player_id distance_per_quarter_m
201144 1947.92
202326 1946.52
202344 1942.95
203099 1941.78
201976 1940.49
1626169 1934.17
201945 1930.22
202682 1929.21
201585 1916.37
203508 1915.83
203915 1915.69
2210 1914.1
203093 1914.0
2403 1909.62
202362 1903.39
203141 1901.21
201941 1897.86
203095 1896.96
203114 1894.55
202324 1894.35
101145 1892.64
202335 1885.58
201155 1885.32
2760 1881.12
200768 1879.04
203953 1878.33
203894 1877.35
202390 1874.52
203506 1872.38
203094 1865.92
1718 1861.43
203960 1860.87
201188 1859.43
203940 1849.66
2546 1848.23
101162 1846.51
203085 1843.9
2037 1843.9
203382 1843.18
203459 1834.29
203526 1826.98
203458 1824.52
203124 1818.88
204025 1818.35
204001 1816.45
201603 1810.11
202693 1802.95
1626158 1802.23
200765 1799.27
203507 1796.0
101133 1793.63
201936 1786.77
202699 1786.38
203901 1782.74
202329 1782.39
203515 1781.62
201229 1779.66
203498 1777.55
203098 1775.6
2594 1773.89
203496 1769.88
1626174 1769.83
203484 1765.21
201600 1763.98
1626170 1762.12
202697 1761.87
201167 1758.93
203486 1755.23
202357 1752.73
202696 1749.23
201599 1740.41
203497 1738.95
203082 1736.72
203530 1736.02
202687 1732.71
202389 1728.52
200755 1723.29
203909 1722.84
202694 1722.36
203468 1717.09
203088 1713.28
202328 1712.45
203512 1712.4
2772 1711.92
101111 1698.52
1626245 1696.4
203138 1695.48
202684 1694.46
202388 1691.75
201577 1691.13
203089 1690.73
2590 1689.42
200794 1687.56
203943 1686.22
203897 1686.1
202334 1684.04
201147 1681.37
202322 1676.37
202498 1674.46
2755 1673.32
204038 1670.45
203490 1670.07
203946 1661.99
2544 1658.7
201162 1646.94
203926 1646.1
203503 1642.86
204456 1640.95
203086 1638.5
2207 1631.5
201567 1630.3
2747 1624.75
2592 1623.83
203521 1622.54
201588 1620.26
203924 1618.55
203499 1614.89
203488 1614.39
708 1611.95
203081 1605.12
201596 1599.79
203917 1597.69
203477 1589.54
203939 1582.67
2406 1581.18
200757 1577.25
203934 1572.69
1626153 1566.3
203457 1560.77
202703 1559.55
2734 1556.53
101112 1555.9
1889 1553.79
202718 1543.21
202708 1537.68
201935 1527.51
203952 1526.96
1626157 1523.92
203083 1521.9
101108 1515.47
101127 1515.47
202083 1514.59
1626143 1512.95
203078 1505.35
101141 1501.82
201171 1501.58
201580 1501.02
2419 1500.39
202714 1499.11
202710 1494.37
202704 1490.42
203200 1484.02
101181 1480.3
202349 1471.76
1626181 1471.19
2585 1468.5
101109 1467.6
1626145 1465.21
201937 1464.75
203460 1457.41
101114 1455.39
204014 1437.61
201572 1436.78
200826 1433.84
202325 1430.11
203476 1428.24
203471 1424.94
2756 1405.56
1626171 1403.72
201573 1397.42
201952 1386.02
2743 1368.76
201152 1367.65
201143 1347.32
202713 1344.09
202683 1333.11
1717 1329.82
202338 1323.88
201593 1323.66
201586 1300.82
201959 1285.57
2200 1271.53
203079 1255.04
202681 1253.9
203500 1250.89
201566 1243.88
201168 1227.21
201571 1222.97
201142 1220.12
1626179 1210.73
1626178 1157.96
201166 1156.01
201951 1079.43
201565 1076.69
2555 1074.43
200745 986.04
1626149 731.59
